MU #;Sil (%);PNR (dB);DR (Hz);CoV_isi (%);Mean_isi (ms);StD_isi (ms);Skewness_isi;Kurtosis_isi;Nº spikes
1;99.42139811147759;30.290461257050897;5.953488372093023;nan;167.96875;nan;0.0;-3.0;2
2;99.13603236431283;28.35413646927303;5.91907514450867;nan;168.9453125;nan;0.0;-3.0;2
3;99.3375334842525;22.57156666156472;81.92;11.313708498984761;12.20703125;1.3810679320049757;0.0;-2.0;3
4;98.94715742631833;26.972613561438408;8.904347826086957;48.31371959335339;112.3046875;54.2585718089418;0.09890581240802143;-1.5;4
5;98.39444268875206;27.96194155573317;5.45043246839654;69.21144692897909;183.4716796875;126.98340421662057;-0.2295178746927826;-1.0824929861225128;5
6;97.29122800138514;17.316987771510203;75.85185185185185;22.098420578038958;13.18359375;2.913365994175058;1.0025634937819645;0.2333038757732604;7
7;96.97142907167564;16.412446689620804;82.94080996884735;16.062505889715595;12.056790865384617;1.9366227428630958;0.7376738540913443;0.2891372401328689;14
8;91.60422313022933;20.280470557071524;2.5424617223780404;136.77101360425982;393.3195891203703;537.9471887440405;1.8164851081769682;2.197934801343288;28
9;96.10728719662704;22.28898021930869;4.518028281074826;127.84172549363943;221.33548924180326;282.95910857650995;3.42146536295492;14.703905831312053;62
10;92.1980506946476;19.497535586361494;6.343437680680598;164.91035206648837;157.64322916666669;259.97000422773107;6.812708819059759;50.348539370099644;76
11;92.94350504334706;21.262571785086614;8.657585720995773;105.80785502351277;115.5056423611111;122.2140426134216;4.18289664882622;22.148466143711875;118
12;93.22918005099206;20.238505000956035;9.173083075610537;130.37314927241704;109.01460193452381;142.12576970882796;7.653766717695965;69.27664714736396;127
13;92.13893295838118;19.802594627760396;9.407109038230514;75.26353866835099;106.30258413461539;80.0070865156126;2.4959526129638347;6.817479561969352;131
14;94.77492589006799;23.063568125242938;9.913094886195685;104.09737693553215;100.87666984732823;105.00996725098558;4.765183182989543;26.218385519851726;132
15;90.60917859938107;18.77099810477171;9.650186370349532;76.60373788344317;103.62494169776119;79.38057872002379;2.792458722587866;9.294801933930275;135
16;94.70730356943722;21.55213355646669;10.338286526839672;122.69118934688849;96.72782790492958;118.67652248596958;5.758905505457377;36.99664528471359;143
17;95.49260221075903;23.468560868740724;10.802223087542922;110.49560050871786;92.57353712248322;102.28968575564868;6.7841366804142735;57.57809987497366;150
18;91.20899559097727;20.17230996408509;16.378376523082203;58.074954430306114;61.05611252682403;35.45830952686948;2.2036295100237973;6.591412791362474;234
19;90.97519864856885;19.138515413128165;16.569008847729542;35.09593034566982;60.35364029255319;21.181671558150583;1.9313007838699714;4.034995284499771;236
20;91.28908166386822;19.571038148345078;20.56934158466065;33.8589278541007;48.616043244949495;16.460871007825848;2.443727654871342;11.923794991047007;298
