MU #;Sil (%);PNR (dB);DR (Hz);CoV_isi (%);Mean_isi (ms);StD_isi (ms);Skewness_isi;Kurtosis_isi;Nº spikes
1;99.89204562713807;32.87888213560973;26.94736842105263;nan;37.109375;nan;0.0;-3.0;2
2;99.85624846025391;33.5744993703095;2.880450070323488;nan;347.16796875;nan;0.0;-3.0;2
3;99.72278978144561;26.436135232637277;79.79220779220779;11.247083166031672;12.532552083333334;1.409546555638735;0.7071067811865458;-1.5000000000000018;4
4;97.29201438624489;17.709227270290683;9.211394302848575;169.6221753624941;108.56119791666667;184.14386550583262;1.482162452729664;0.4255704463400294;10
5;96.74507243180057;23.24318279195265;6.62606922838275;137.84939494412563;150.91903895547946;208.04098205561772;5.817676416754494;39.369337253718605;74
6;96.76917225431131;23.898628780171116;7.764846212831217;105.65125765429791;128.78555126404495;136.06355458748405;4.8199420914552435;29.741383236245873;90
7;92.59452559186116;20.651208433161376;10.937138198124746;93.40874739783035;91.43159589694656;85.40510845318383;6.588524475474557;49.02257951159678;132
8;94.09409556994565;20.879382664915703;11.83711358262545;64.72948689394096;84.48005445075756;54.6835057736973;6.676186202180485;56.68310287570165;133
9;90.07191979758727;19.776921477374835;13.952311435523114;60.747079789221345;71.67271205357143;43.53907957828189;5.493126008348364;46.34177400254301;197
10;90.5041716613616;19.927403439765072;14.023496697949252;60.89187804280056;71.30889118020305;43.421323051122606;5.556443992719541;47.00722573758026;198
11;91.59939307923646;20.91407667461608;16.783945644940985;88.11814598745396;59.58074586004273;52.501448617366385;11.407526141356694;152.21784242813848;235
12;93.40436024407524;22.34846445166948;16.88734256488762;68.28151608383045;59.2159480485232;40.433547090945055;7.903033747739029;83.76710465116898;238
13;92.07460069775124;20.39752060011487;18.084040542862052;34.120273400118315;55.2973765807393;18.867616072441248;2.8158196063715724;12.920146784905603;258
14;91.67145247933462;19.962236704785578;18.8585869076055;31.82766851975781;53.026242363721806;16.877016648008766;2.610411687560794;9.873022234462718;267
15;90.4336076297091;18.341269487864327;19.834171537311406;40.563847336918904;50.41803728070175;20.45149567281472;3.7096937377511248;19.42875333880612;286
